"","dataset","header"
"49885",4959,"Number of Defendants Unsuccessful Prosecutions"
"49886",4959,"Unsuccessful Prosecutions Percentage"
"49887",4960,"CPS outcomes by principal offence category nottinghamshire"
"49888",4960,"Number of Defendants convicted"
"49889",4960,"Convictions Percentage"
"49890",4960,"Number of Defendants Unsuccessful Prosecutions"
"49891",4960,"Unsuccessful Prosecutions Percentage"
"49892",4961,"CPS outcomes by principal offence category south_wales"
"49893",4961,"Number of Defendants convicted"
"49894",4961,"Convictions Percentage"
"49895",4961,"Number of Defendants Unsuccessful Prosecutions"
"49896",4961,"Unsuccessful Prosecutions Percentage"
"49897",4962,"CPS outcomes by principal offence category south_yorkshire"
"49898",4962,"Number of Defendants convicted"
"49899",4962,"Convictions Percentage"
"49900",4962,"Number of Defendants Unsuccessful Prosecutions"
"49901",4962,"Unsuccessful Prosecutions Percentage"
"49902",4963,"CPS outcomes by principal offence category staffordshire"
"49903",4963,"Number of Defendants convicted"
"49904",4963,"Convictions Percentage"
"49905",4963,"Number of Defendants Unsuccessful Prosecutions"
"49906",4963,"Unsuccessful Prosecutions Percentage"
"49907",4964,"CPS outcomes by principal offence category suffolk"
"49908",4964,"Number of Defendants convicted"
"49909",4964,"Convictions Percentage"
"49910",4964,"Number of Defendants Unsuccessful Prosecutions"
"49911",4964,"Unsuccessful Prosecutions Percentage"
"49912",4965,"CPS outcomes by principal offence category surrey"
"49913",4965,"Number of Defendants convicted"
"49914",4965,"Convictions Percentage"
"49915",4965,"Number of Defendants Unsuccessful Prosecutions"
"49916",4965,"Unsuccessful Prosecutions Percentage"
"49917",4966,"CPS outcomes by principal offence category sussex"
"49918",4966,"Number of Defendants convicted"
"49919",4966,"Convictions Percentage"
"49920",4966,"Number of Defendants Unsuccessful Prosecutions"
"49921",4966,"Unsuccessful Prosecutions Percentage"
"49922",4967,"CPS outcomes by principal offence category thames_valley"
"49923",4967,"Number of Defendants convicted"
"49924",4967,"Convictions Percentage"
"49925",4967,"Number of Defendants Unsuccessful Prosecutions"
"49926",4967,"Unsuccessful Prosecutions Percentage"
"49927",4968,"CPS outcomes by principal offence category warwickshire"
"49928",4968,"Number of Defendants convicted"
"49929",4968,"Convictions Percentage"
"49930",4968,"Number of Defendants Unsuccessful Prosecutions"
"49931",4968,"Unsuccessful Prosecutions Percentage"
"49932",4969,"CPS outcomes by principal offence category west_mercia"
"49933",4969,"Number of Defendants convicted"
"49934",4969,"Convictions Percentage"
"49935",4969,"Number of Defendants Unsuccessful Prosecutions"
"49936",4969,"Unsuccessful Prosecutions Percentage"
"49937",4970,"CPS outcomes by principal offence category west_midlands"
"49938",4970,"Number of Defendants convicted"
"49939",4970,"Convictions Percentage"
"49940",4970,"Number of Defendants Unsuccessful Prosecutions"
"49941",4970,"Unsuccessful Prosecutions Percentage"
"49942",4971,"CPS outcomes by principal offence category west_yorkshire"
"49943",4971,"Number of Defendants convicted"
"49944",4971,"Convictions Percentage"
"49945",4971,"Number of Defendants Unsuccessful Prosecutions"
"49946",4971,"Unsuccessful Prosecutions Percentage"
"49947",4972,"CPS outcomes by principal offence category wiltshire"
"49948",4972,"Number of Defendants convicted"
"49949",4972,"Convictions Percentage"
"49950",4972,"Number of Defendants Unsuccessful Prosecutions"
"49951",4972,"Unsuccessful Prosecutions Percentage"
"49952",4973,"CPS outcomes by principal offence category "
"49953",4973,"Number of Defendants convicted"
"49954",4973,"Convictions Percentage"
"49955",4973,"Number of Defendants Unsuccessful Prosecutions"
"49956",4973,"Unsuccessful Prosecutions Percentage"
"49957",4974,"CPS outcomes by principal offence category "
"49958",4974,"Number of Defendants convicted"
"49959",4974,"Convictions Percentage"
"49960",4974,"Number of Defendants Unsuccessful Prosecutions"
"49961",4974,"Unsuccessful Prosecutions Percentage"
"49962",4975,"CPS outcomes by principal offence category "
"49963",4975,"Number of Defendants convicted"
"49964",4975,"Convictions Percentage"
"49965",4975,"Number of Defendants Unsuccessful Prosecutions"
"49966",4975,"Unsuccessful Prosecutions Percentage"
"49967",4976,"CPS outcomes by principal offence category "
"49968",4976,"Number of Defendants convicted"
"49969",4976,"Convictions Percentage"
"49970",4976,"Number of Defendants Unsuccessful Prosecutions"
"49971",4976,"Unsuccessful Prosecutions Percentage"
"49972",4977,"CPS outcomes by principal offence category "
"49973",4977,"Number of Defendants convicted"
"49974",4977,"Convictions Percentage"
"49975",4977,"Number of Defendants Unsuccessful Prosecutions"
"49976",4977,"Unsuccessful Prosecutions Percentage"
"49977",4978,"CPS outcomes by principal offence category "
"49978",4978,"Number of Defendants convicted"
"49979",4978,"Convictions Percentage"
"49980",4978,"Number of Defendants Unsuccessful Prosecutions"
"49981",4978,"Unsuccessful Prosecutions Percentage"
"49982",4979,"CPS outcomes by principal offence category "
"49983",4979,"Number of Defendants convicted"
"49984",4979,"Convictions Percentage"
"49985",4979,"Number of Defendants Unsuccessful Prosecutions"
"49986",4979,"Unsuccessful Prosecutions Percentage"
"49987",4980,"CPS outcomes by principal offence category "
"49988",4980,"Number of Defendants convicted"
"49989",4980,"Convictions Percentage"
"49990",4980,"Number of Defendants Unsuccessful Prosecutions"
"49991",4980,"Unsuccessful Prosecutions Percentage"
"49992",4981,"CPS outcomes by principal offence category "
"49993",4981,"Number of Defendants convicted"
"49994",4981,"Convictions Percentage"
"49995",4981,"Number of Defendants Unsuccessful Prosecutions"
"49996",4981,"Unsuccessful Prosecutions Percentage"
"49997",4982,"CPS outcomes by principal offence category "
"49998",4982,"Number of Defendants convicted"
"49999",4982,"Convictions Percentage"
"50000",4982,"Number of Defendants Unsuccessful Prosecutions"
"50001",4982,"Unsuccessful Prosecutions Percentage"
"50002",4983,"CPS outcomes by principal offence category "
"50003",4983,"Number of Defendants convicted"
"50004",4983,"Convictions Percentage"
"50005",4983,"Number of Defendants Unsuccessful Prosecutions"
"50006",4983,"Unsuccessful Prosecutions Percentage"
"50007",4984,"CPS outcomes by principal offence category "
"50008",4984,"Number of Defendants convicted"
"50009",4984,"Convictions Percentage"
"50010",4984,"Number of Defendants Unsuccessful Prosecutions"
"50011",4984,"Unsuccessful Prosecutions Percentage"
"50012",4985,"Grade"
"50013",4985,"16-19 Headcount"
"50014",4985,"16-19 Percentage"
"50015",4985,"20-24 Headcount"
"50016",4985,"20-24 Percentage"
"50017",4985,"25-29 Headcount"
"50018",4985,"25-29 Percentage"
"50019",4985,"30-34 Headcount"
"50020",4985,"30-34 Percentage"
"50021",4985,"35-39 Headcount"
"50022",4985,"35-39 Percentage"
"50023",4985,"40-44 Headcount"
"50024",4985,"40-44 Percentage"
"50025",4985,"45-49 Headcount"
"50026",4985,"45-49 Percentage"
"50027",4985,"50-54 Headcount"
"50028",4985,"50-54 Percentage"
"50029",4985,"55-59 Headcount"
"50030",4985,"55-59 Percentage"
"50031",4985,"60-64 Headcount"
"50032",4985,"60-64 Percentage"
"50033",4985,"65 Plus Headcount"
"50034",4985,"66 Plus Percentage"
"50035",4985,"Prefer Not to Say/Declined to specify Headcount"
"50036",4985,"Prefer Not to Say/Declined to specify Percentage"
"50037",4985,"No Reply Headcount"
"50038",4985,"No Reply Percentage"
"50039",4985,"Grand Total"
"50040",4986,"Grade"
"50041",4986,"Disabled Headcount"
"50042",4986,"Disabled Percentage"
"50043",4986,"Non-Disabled Headcount"
"50044",4986,"Non-Disabled Percentage"
"50045",4986,"Non-Disclosed Percentage"
"50046",4986,"Non-Disclosed Headcount"
"50047",4986,"Grand Total"
"50048",4987,"Grade"
"50049",4987,"BME Headcount"
"50050",4987,"BME Percentage"
"50051",4987,"White Headcount"
"50052",4987,"White Percentage"
"50053",4987,"Non-disclosed Headcount"
"50054",4987,"Non-disclosed Percentage"
"50055",4987,"Grand Total"
"50056",4988,"Grade"
"50057",4988,"Men Headcount"
"50058",4988,"Men Percentage"
"50059",4988,"Women Headcount"
"50060",4988,"Women Percentage"
"50061",4988,"Not known Headcount"
"50062",4988,"Not known Percentage"
"50063",4988,"Grand Total"
"50064",4989,"Grade"
"50065",4989,"Agnostic Headcount"
"50066",4989,"Agnostic Percentage"
"50067",4989,"Atheist Headcount"
"50068",4989,"Atheist Percentage"
"50069",4989,"Bahai Headcount"
"50070",4989,"Bahai Percentage"
"50071",4989,"Buddhist Headcount"
"50072",4989,"Buddhist Percentage"
"50073",4989,"Christian Headcount"
"50074",4989,"Christian Percentage"
"50075",4989,"Hindu Headcount"
"50076",4989,"Hindu Percentage"
"50077",4989,"Jewish Headcount"
"50078",4989,"Jewish Percentage"
"50079",4989,"Muslim Headcount"
"50080",4989,"Muslim Percentage"
"50081",4989,"Pagan Headcount"
"50082",4989,"Pagan Percentage"
"50083",4989,"Sikh Headcount"
"50084",4989,"Sikh Percentage"
"50085",4989,"Other Headcount"
"50086",4989,"Other Percentage"
"50087",4989,"No Religion or Belief Headcount"
"50088",4989,"No Religion or Belief Percentage"
"50089",4989,"Prefer Not to Say/Declined to specify Headcount"
"50090",4989,"Prefer Not to Say/Declined to specify Percentage"
"50091",4989,"No Reply Headcount"
"50092",4989,"No Reply Percentage"
"50093",4989,"Grand Total"
"50094",4990,"Grade"
"50095",4990,"Bisexual Man Headcount"
"50096",4990,"Bisexual Man Percentage"
"50097",4990,"Bisexual Woman Headcount"
"50098",4990,"Bisexual Woman Percentage"
"50099",4990,"Gay Man Headcount"
"50100",4990,"Gay Man Percentage"
"50101",4990,"Gay Woman / Lesbian Headcount"
"50102",4990,"Gay Woman / Lesbian Percentage"
"50103",4990,"Heterosexual (Straight) Man Headcount"
"50104",4990,"Heterosexual (Straight) Man Percentage"
"50105",4990,"Heterosexual (Straight) Woman Headcount"
"50106",4990,"Heterosexual (Straight) Woman Percentage"
"50107",4990,"Other Headcount"
"50108",4990,"Other Percentage"
"50109",4990,"Prefer Not to Say/Declined to specify Headcount"
"50110",4990,"Prefer Not to Say/Declined to specify Percentage"
"50111",4990,"No Reply Headcount"
"50112",4990,"No Reply Percentage"
"50113",4990,"Grand Total"
"50114",4991,"Grade"
"50115",4991,"16-19 Headcount"
"50116",4991,"16-19 Percentage"
"50117",4991,"20-24 Headcount"
"50118",4991,"20-24 Percentage"
"50119",4991,"25-29 Headcount"
"50120",4991,"25-29 Percentage"
"50121",4991,"30-34 Headcount"
"50122",4991,"30-34 Percentage"
"50123",4991,"35-39 Headcount"
"50124",4991,"35-39 Percentage"
"50125",4991,"40-44 Headcount"
"50126",4991,"40-44 Percentage"
"50127",4991,"45-49 Headcount"
"50128",4991,"45-49 Percentage"
"50129",4991,"50-54 Headcount"
"50130",4991,"50-54 Percentage"
"50131",4991,"55-59 Headcount"
"50132",4991,"55-59 Percentage"
"50133",4991,"60-64 Headcount"
"50134",4991,"60-64 Percentage"
"50135",4991,"65 Plus Headcount"
"50136",4991,"65 Plus Percentage"
"50137",4991,"Prefer Not to Say/Declined to specify Headcount"
"50138",4991,"Prefer Not to Say/Declined to specify Percentage"
"50139",4991,"No Reply Headcount"
"50140",4991,"No Reply Percentage"
"50141",4991,"Grand Total"
"50142",4992,"Grade"
"50143",4992,"Disabled Headcount"
"50144",4992,"Disabled Percentage"
"50145",4992,"Non-Disabled Headcount"
"50146",4992,"Non-Disabled Percentage"
"50147",4992,"Non-Disclosure Headcount"
"50148",4992,"Non-Disclosure Percentage"
"50149",4992,"Grand Total"
"50150",4993,"Grade"
"50151",4993,"BME Headcount"
"50152",4993,"BME Percentage"
"50153",4993,"White Headcount"
"50154",4993,"White Percentage"
"50155",4993,"Non-disclosure Headcount"
"50156",4993,"Non-disclosure Percentage"
"50157",4993,"Grand Total"
"50158",4994,"Grade"
"50159",4994,"Men Headcount"
"50160",4994,"Men Percentage"
"50161",4994,"Women Headcount"
"50162",4994,"Women Percentage"
"50163",4994,"Not known Headcount"
"50164",4994,"Not known Percentage"
"50165",4994,"Grand Total"
"50166",4995,"Grade"
"50167",4995,"Agnostic Headcount"
"50168",4995,"Agnostic Percentage"
"50169",4995,"Atheist Headcount"
"50170",4995,"Atheist Percentage"
"50171",4995,"Bahai Headcount"
"50172",4995,"Bahai Percentage"
"50173",4995,"Buddhist Headcount"
"50174",4995,"Buddhist Percentage"
"50175",4995,"Christian Headcount"
"50176",4995,"Christian Percentage"
"50177",4995,"Hindu Headcount"
"50178",4995,"Hindu Percentage"
"50179",4995,"Jewish Headcount"
"50180",4995,"Jewish Percentage"
"50181",4995,"Muslim Headcount"
"50182",4995,"Muslim Percentage"
"50183",4995,"Pagan Headcount"
"50184",4995,"Pagan Percentage"
"50185",4995,"Sikh Headcount"
"50186",4995,"Sikh Percentage"
"50187",4995,"Other Headcount"
"50188",4995,"Other Percentage"
"50189",4995,"No Religion or Belief Headcount"
"50190",4995,"No Religion or Belief Percentage"
"50191",4995,"Prefer Not to Say/Declined to specify Headcount"
"50192",4995,"Prefer Not to Say/Declined to specify Percentage"
"50193",4995,"No Reply Headcount"
"50194",4995,"No Reply Percentage"
"50195",4995,"Grand Total"
"50196",4996,"Grade"
"50197",4996,"Bisexual Man Headcount"
"50198",4996,"Bisexual Man Percentage"
"50199",4996,"Bisexual Woman Headcount"
"50200",4996,"Bisexual Woman Percentage"
"50201",4996,"Gay Man Headcount"
"50202",4996,"Gay Man Percentage"
"50203",4996,"Gay Woman / Lesbian Headcount"
"50204",4996,"Gay Woman / Lesbian Percentage"
"50205",4996,"Heterosexual (Straight) Man Headcount"
"50206",4996,"Heterosexual (Straight) Man Percentage"
"50207",4996,"Heterosexual (Straight) Woman Headcount"
"50208",4996,"Heterosexual (Straight) Woman Percentage"
"50209",4996,"Other Headcount"
"50210",4996,"Other Percentage"
"50211",4996,"Prefer Not to Say/Declined to specify Headcount"
"50212",4996,"Prefer Not to Say/Declined to specify Percentage"
"50213",4996,"No Reply Headcount"
"50214",4996,"No Reply Percentage"
"50215",4996,"Grand Total"
"50216",4997,"Grade"
"50217",4997,"16-19 Headcount"
"50218",4997,"16-19 Percentage"
"50219",4997,"20-24 Headcount"
"50220",4997,"20-24 Percentage"
"50221",4997,"25-29 Headcount"
"50222",4997,"25-29 Percentage"
"50223",4997,"30-34 Headcount"
"50224",4997,"30-34 Percentage"
"50225",4997,"35-39 Headcount"
"50226",4997,"35-39 Percentage"
"50227",4997,"40-44 Headcount"
"50228",4997,"40-44 Percentage"
"50229",4997,"45-49 Headcount"
"50230",4997,"45-49 Percentage"
"50231",4997,"50-54 Headcount"
"50232",4997,"50-54 Percentage"
"50233",4997,"55-59 Headcount"
"50234",4997,"55-59 Percentage"
"50235",4997,"60-64 Headcount"
"50236",4997,"60-64 Percentage"
"50237",4997,"65 Plus Headcount"
"50238",4997,"66 Plus Percentage"
"50239",4997,"Grand Total"
"50240",4998,"Grade"
"50241",4998,"Disabled Headcount"
"50242",4998,"Disabled Percentage"
"50243",4998,"Non-Disabled Headcount"
"50244",4998,"Non-Disabled Percentage"
"50245",4998,"Status Undeclared Headcount"
"50246",4998,"Status Undeclared Percentage"
"50247",4998,"Grand Total"
"50248",4999,"Grade"
"50249",4999,"BME Headcount"
"50250",4999,"BME Percentage"
"50251",4999,"White Headcount"
"50252",4999,"White Percentage"
"50253",4999,"No Infomation Headcount"
"50254",4999,"No Information Percentage"
"50255",4999,"Grand Total"
"50256",5000,"Grade"
"50257",5000,"Men Headcount"
"50258",5000,"Men Percentage"
"50259",5000,"Women Headcount"
"50260",5000,"Women Percentage"
"50261",5000,"Grand Total"
"50262",5001,"Grade"
"50263",5001,"Agnostic Headcount"
"50264",5001,"Agnostic Percentage"
"50265",5001,"Atheist Headcount"
"50266",5001,"Atheist Percentage"
"50267",5001,"Bahai Headcount"
"50268",5001,"Bahai Percentage"
"50269",5001,"Buddhist Headcount"
"50270",5001,"Buddhist Percentage"
"50271",5001,"Christian Headcount"
"50272",5001,"Christian Percentage"
"50273",5001,"Hindu Headcount"
"50274",5001,"Hindu Percentage"
"50275",5001,"Jewish Headcount"
"50276",5001,"Jewish Percentage"
"50277",5001,"Muslim Headcount"
"50278",5001,"Muslim Percentage"
"50279",5001,"Pagan Headcount"
"50280",5001,"Pagan Percentage"
"50281",5001,"Sikh Headcount"
"50282",5001,"Sikh Percentage"
"50283",5001,"Other Headcount"
"50284",5001,"Other Percentage"
"50285",5001,"No religion or belief Headcount"
"50286",5001,"No religion or belief Percentage"
"50287",5001,"No Reply Headcount"
"50288",5001,"No Reply Percentage"
"50289",5001,"Grand Total"
"50290",5002,"Grade"
"50291",5002,"Hetrosexual Male Headcount"
"50292",5002,"Hetrosexual Male Percentage"
"50293",5002,"Hetrosexual Female Headcount"
"50294",5002,"Hetrosexual Female Percentage"
"50295",5002,"Bisexual Male Headcount"
"50296",5002,"Bisexual Male Percentage"
"50297",5002,"Bisexual Female Headcount"
"50298",5002,"Bisexual Female Percentage"
"50299",5002,"Gay Man Headcount"
"50300",5002,"Gay Man Percentage"
"50301",5002,"Gay Woman Headcount"
"50302",5002,"Gay Woman Percentage"
"50303",5002,"Other Headcount"
"50304",5002,"Other Percentage"
"50305",5002,"No Reply Headcount"
"50306",5002,"No Reply Percentage"
"50307",5002,"Grand Total"
"50308",5003,"Grade"
"50309",5003,"16-19 Headcount"
"50310",5003,"16-19 Percentage"
"50311",5003,"20-24 Headcount"
"50312",5003,"20-24 Percentage"
"50313",5003,"25-29 Headcount"
"50314",5003,"25-29 Percentage"
"50315",5003,"30-34 Headcount"
"50316",5003,"30-34 Percentage"
"50317",5003,"35-39 Headcount"
"50318",5003,"35-39 Percentage"
"50319",5003,"40-44 Headcount"
"50320",5003,"40-44 Percentage"
"50321",5003,"45-49 Headcount"
"50322",5003,"45-49 Percentage"
"50323",5003,"50-54 Headcount"
"50324",5003,"50-54 Percentage"
"50325",5003,"55-59 Headcount"
"50326",5003,"55-59 Percentage"
"50327",5003,"60-64 Headcount"
"50328",5003,"60-64 Percentage"
"50329",5003,"65 Plus Headcount"
"50330",5003,"66 Plus Percentage"
"50331",5003,"Grand Total"
"50332",5004,"Grade"
"50333",5004,"Disabled Headcount"
"50334",5004,"Disabled Percentage"
"50335",5004,"Non-disabled Headcount"
"50336",5004,"Non-disabled Percentage"
"50337",5004,"Status Undeclared Headcount"
"50338",5004,"Status Undeclared Percentage"
"50339",5004,"Grand Total"
"50340",5005,"Grade"
"50341",5005,"BME Headcount"
"50342",5005,"BME Percentage"
"50343",5005,"White Headcount"
"50344",5005,"White Percentage"
"50345",5005,"No Infomation Headcount"
"50346",5005,"No Information Percentage"
"50347",5005,"Grand Total"
"50348",5006,"Grade"
"50349",5006,"Men Headcount"
"50350",5006,"Men Percentage"
"50351",5006,"Women Headcount"
"50352",5006,"Women Percentage"
"50353",5006,"Grand Total"
"50354",5007,"Grade"
"50355",5007,"Agnostic Headcount"
"50356",5007,"Agnostic Percentage"
"50357",5007,"Atheist Headcount"
"50358",5007,"Atheist Percentage"
"50359",5007,"Bahai Headcount"
"50360",5007,"Bahai Percentage"
"50361",5007,"Buddhist Headcount"
"50362",5007,"Buddhist Percentage"
"50363",5007,"Christian Headcount"
"50364",5007,"Christian Percentage"
"50365",5007,"Hindu Headcount"
"50366",5007,"Hindu Percentage"
"50367",5007,"Jewish Headcount"
"50368",5007,"Jewish Percentage"
"50369",5007,"Muslim Headcount"
"50370",5007,"Muslim Percentage"
"50371",5007,"Pagan Headcount"
"50372",5007,"Pagan Percentage"
"50373",5007,"Sikh Headcount"
"50374",5007,"Sikh Percentage"
"50375",5007,"Other Headcount"
"50376",5007,"Other Percentage"
"50377",5007,"No Religion or Belief Headcount"
"50378",5007,"No Religion or Belief Percentage"
"50379",5007,"Prefer Not to Say/Declined to specify Headcount"
"50380",5007,"Prefer Not to Say/Declined to specify Percentage"
"50381",5007,"No Reply Headcount"
"50382",5007,"No Reply Percentage"
"50383",5007,"Grand Total"
"50384",5008,"Grade"
"50385",5008,"Bisexual Man Headcount"
"50386",5008,"Bisexual Man Percentage"
"50387",5008,"Bisexual Woman Headcount"
"50388",5008,"Bisexual Woman Percentage"
"50389",5008,"Gay Man Headcount"
"50390",5008,"Gay Man Percentage"
"50391",5008,"Gay Woman / Lesbian Headcount"
"50392",5008,"Gay Woman / Lesbian Percentage"
"50393",5008,"Heterosexual (Straight) Man Headcount"
"50394",5008,"Heterosexual (Straight) Man Percentage"
"50395",5008,"Heterosexual (Straight) Woman Headcount"
"50396",5008,"Heterosexual (Straight) Woman Percentage"
"50397",5008,"Other Headcount"
"50398",5008,"Other Percentage"
"50399",5008,"Prefer Not to Say/Declined to specify Headcount"
"50400",5008,"Prefer Not to Say/Declined to specify Percentage"
"50401",5008,"No Reply Headcount"
"50402",5008,"No Reply Percentage"
"50403",5008,"Grand Total"
"50404",5009,"Grade"
"50405",5009,"16-19 Headcount"
"50406",5009,"16-19 Percentage"
"50407",5009,"20-24 Headcount"
"50408",5009,"20-24 Percentage"
"50409",5009,"25-29 Headcount"
"50410",5009,"25-29 Percentage"
"50411",5009,"30-34 Headcount"
"50412",5009,"30-34 Percentage"
"50413",5009,"35-39 Headcount"
"50414",5009,"35-39 Percentage"
"50415",5009,"40-44 Headcount"
"50416",5009,"40-44 Percentage"
"50417",5009,"45-49 Headcount"
"50418",5009,"45-49 Percentage"
"50419",5009,"50-54 Headcount"
"50420",5009,"50-54 Percentage"
"50421",5009,"55-59 Headcount"
"50422",5009,"55-59 Percentage"
"50423",5009,"60-64 Headcount"
"50424",5009,"60-64 Percentage"
"50425",5009,"65 Plus Headcount"
"50426",5009,"66 Plus Percentage"
"50427",5009,"Grand Total"
"50428",5010,"Grade"
"50429",5010,"Disabled Headcount"
"50430",5010,"Disabled Percentage"
"50431",5010,"Non-disabled Headcount"
"50432",5010,"Non-disabled Percentage"
"50433",5010,"Status Undeclared Headcount"
"50434",5010,"Status Undeclared Percentage"
"50435",5010,"Grand Total"
"50436",5011,"Grade"
"50437",5011,"BME Headcount"
"50438",5011,"BME Percentage"
"50439",5011,"White Headcount"
"50440",5011,"White Percentage"
"50441",5011,"No Information Headcount"
"50442",5011,"No Information Percentage"
"50443",5011,"Grand Total"
"50444",5012,"Grade"
"50445",5012,"Men Headcount"
"50446",5012,"Men Percentage"
"50447",5012,"Female Headcount"
"50448",5012,"Female Percentage"
"50449",5012,"Grade Total"
"50450",5013,"Grade"
"50451",5013,"Agnostic Headcount"
"50452",5013,"Agnostic Percentage"
"50453",5013,"Atheist Headcount"
"50454",5013,"Atheist  Percentage"
"50455",5013,"Bahai Headcount"
"50456",5013,"Bahai Percentage"
"50457",5013,"Buddhist Headcount"
"50458",5013,"Buddhist Percentage"
"50459",5013,"Christian Headcount"
"50460",5013,"Christian Percentage"
"50461",5013,"Hindu Headcount"
"50462",5013,"Hindu Percentage"
"50463",5013,"Jewish Headcount"
"50464",5013,"Jewish Percentage"
"50465",5013,"Muslim Headcount"
"50466",5013,"Muslim Percentage"
"50467",5013,"Pagan Headcount"
"50468",5013,"Pagan Percentage"
"50469",5013,"Sikh Headcount"
"50470",5013,"Sikh Percentage"
"50471",5013,"Other Headcount"
"50472",5013,"Other Percentage"
"50473",5013,"No Religion or Belief Headcount"
"50474",5013,"No Religion or Belief Percentage"
"50475",5013,"Prefer Not to Say/Declined to specify Headcount"
"50476",5013,"Prefer Not to Say/Declined to specify Percentage"
"50477",5013,"No Reply Headcount"
"50478",5013,"No Reply Percentage"
"50479",5013,"Grand Total"
"50480",5014,"Grade"
"50481",5014,"Bisexual Man Headcount"
"50482",5014,"Bisexual Man Percentage"
"50483",5014,"Bisexual Woman Headcount"
"50484",5014,"Bisexual Woman Percentage"
"50485",5014,"Gay Man Headcount"
"50486",5014,"Gay Man Percentage"
"50487",5014,"Gay Woman / Lesbian  Headcount"
"50488",5014,"Gay Woman / Lesbian  Percentage"
"50489",5014,"Heterosexual (Straight) Man Headcount"
"50490",5014,"Heterosexual (Straight) Man Percentage"
"50491",5014,"Heterosexual (Straight) Woman Headcount"
"50492",5014,"Heterosexual (Straight) Woman Percentage"
"50493",5014,"Other Headcount"
"50494",5014,"Other Percentage"
"50495",5014,"Prefer Not to Say/Declined to specify Headcount"
"50496",5014,"Prefer Not to Say/Declined to specify Percentage"
"50497",5014,"No Reply Headcount"
"50498",5014,"No Reply Percentage"
"50499",5014,"Grand Total"
"50500",5015,"Grade"
"50501",5015,"16-19 Headcount"
"50502",5015,"16-19 Percentage"
"50503",5015,"20-24 Headcount"
"50504",5015,"20-24 Percentage"
"50505",5015,"25-29 Headcount"
"50506",5015,"25-29 Percentage"
"50507",5015,"30-34 Headcount"
"50508",5015,"30-34 Percentage"
"50509",5015,"35-39 Headcount"
"50510",5015,"35-39 Percentage"
"50511",5015,"40-44 Headcount"
"50512",5015,"40-44 Percentage"
"50513",5015,"45-49 Headcount"
"50514",5015,"45-49 Percentage"
"50515",5015,"50-54 Headcount"
"50516",5015,"50-54 Percentage"
"50517",5015,"55-59 Headcount"
"50518",5015,"55-59 Percentage"
"50519",5015,"60-64 Headcount"
"50520",5015,"60-64 Percentage"
"50521",5015,"65 Plus Headcount"
"50522",5015,"66 Plus Percentage"
"50523",5015,"Grand Total"
"50524",5016,"Grade"
"50525",5016,"Disabled Headcount"
"50526",5016,"Disabled Percentage"
"50527",5016,"Non-Disabled Headcount"
"50528",5016,"Non-Disabled Percentage"
"50529",5016,"Non-Disclosed Headcount"
"50530",5016,"Non-Disclosed Percentage"
"50531",5016,"Grand Total"
"50532",5017,"Grade"
"50533",5017,"BME Headcount"
"50534",5017,"BME Percentage"
"50535",5017,"White Headcount"
"50536",5017,"White Percentage"
"50537",5017,"Non-disclosed Headcount"
"50538",5017,"Non-disclosed Percentage"
"50539",5017,"Grand Total"
"50540",5018,"Grade"
"50541",5018,"Men Headcount"
"50542",5018,"Men Percentage"
"50543",5018,"Women Headcount"
"50544",5018,"Women Percentage"
"50545",5018,"Not known Headcount"
"50546",5018,"Not known Percentage"
"50547",5018,"Grand Total"
"50548",5019,"Grade"
"50549",5019,"Agnostic Headcount"
"50550",5019,"Agnostic Percentage"
"50551",5019,"Atheist Headcount"
"50552",5019,"Atheist Percentage"
"50553",5019,"Bahai Headcount"
"50554",5019,"Bahai Percentage"
"50555",5019,"Buddhist Headcount"
"50556",5019,"Buddhist Percentage"
"50557",5019,"Christian Headcount"
"50558",5019,"Christian Percentage"
"50559",5019,"Hindu Headcount"
"50560",5019,"Hindu Percentage"
"50561",5019,"Jewish Headcount"
"50562",5019,"Jewish Percentage"
"50563",5019,"Muslim Headcount"
"50564",5019,"Muslim Percentage"
"50565",5019,"Pagan Headcount"
"50566",5019,"Pagan Percentage"
"50567",5019,"Sikh Headcount"
"50568",5019,"Sikh Percentage"
"50569",5019,"Other Headcount"
"50570",5019,"Other Percentage"
"50571",5019,"No Religion or Belief Headcount"
"50572",5019,"No Religion or Belief Percentage"
"50573",5019,"Prefer Not to Say/Declined to specify Headcount"
"50574",5019,"Prefer Not to Say/Declined to specify Percentage"
"50575",5019,"No Reply Headcount"
"50576",5019,"No Reply Percentage"
"50577",5019,"Grand Total"
"50578",5020,"Grade"
"50579",5020,"Bisexual Man Headcount"
"50580",5020,"Bisexual Man Percentage"
"50581",5020,"Bisexual Woman Headcount"
"50582",5020,"Bisexual Woman Percentage"
"50583",5020,"Gay Man Headcount"
"50584",5020,"Gay Man Percentage"
"50585",5020,"Gay Woman / Lesbian Headcount"
"50586",5020,"Gay Woman / Lesbian Percentage"
"50587",5020,"Heterosexual (Straight) Man Headcount"
"50588",5020,"Heterosexual (Straight) Man Percentage"
"50589",5020,"Heterosexual (Straight) Woman Headcount"
"50590",5020,"Heterosexual (Straight) Woman Percentage"
"50591",5020,"Other Headcount"
"50592",5020,"Other Percentage"
"50593",5020,"Prefer Not to Say/Declined to specify Headcount"
"50594",5020,"Prefer Not to Say/Declined to specify Percentage"
"50595",5020,"No Reply Headcount"
